id;nome;descricao;preco;imagem_principal;categoria;subcategoria
10862;Caixa de passagem Famatel Acquabox 90x43x39;;11.21;caixa-de-passagem-4.png;Caixa e quadros;Caixa de passagem
10231;Caixa de passagem Famatel 220x170x85mm;;73.64;caixa-de-passagem-1.png;Caixa e quadros;Caixa de passagem
10476;Caixa de passagem cega Famatel 175x330x135mm;;232.24;famatel-cx-passagem-cega-175x330x135-ip65_2724.png;Caixa e quadros;Caixa de passagem
11290;Caixa de passagem Famatel 110x150x63mm;;35.61;caixa-de-passagem-pvc-famatel-ip55-100x150x63-mm_7296.png;Caixa e quadros;Caixa de passagem
10906;Caixa de passagem Famatel 310x240x125mm;;201.00;caixa-de-passagem-pvc-famatel-ip55-240x310x125-mm_4124.png;Caixa e quadros;Caixa de passagem
11371;Caixa de passagem 75x75x39;;10.18;caixa-de-passagem-3.png;Caixa e quadros;Caixa de passagem
10863;Caixa cega Famatel Sampa 112x112x95 mm;;36.31;caixa-de-passagem-2.png;Caixa e quadros;Caixa de passagem
